symbol,report_date
AEP,2001-07-24
AEP,2001-10-23
AEP,2002-01-22
AEP,2002-04-24
AEP,2002-07-25
AEP,2002-10-25
AEP,2003-01-24
AEP,2003-04-29
AEP,2003-07-30
AEP,2003-10-23
AEP,2004-02-03
AEP,2004-04-29
AEP,2004-07-30
AEP,2004-10-21
AEP,2005-01-27
AEP,2005-04-28
AEP,2005-07-29
AEP,2005-10-27
AEP,2006-02-01
AEP,2006-04-27
AEP,2006-07-27
AEP,2006-10-31
AEP,2007-01-30
AEP,2007-04-26
AEP,2007-07-31
AEP,2007-10-24
AEP,2008-01-29
AEP,2008-04-24
AEP,2008-07-31
AEP,2008-10-31
AEP,2009-01-29
AEP,2009-04-24
AEP,2009-07-31
AEP,2009-10-29
AEP,2010-01-28
AEP,2010-04-29
AEP,2010-07-30
AEP,2010-10-19
AEP,2011-01-28
AEP,2011-04-21
AEP,2011-07-29
AEP,2011-10-26
AEP,2012-01-27
AEP,2012-04-20
AEP,2012-07-20
AEP,2012-10-24
AEP,2013-02-15
AEP,2013-04-26
AEP,2013-07-25
AEP,2013-10-23
AEP,2014-01-27
AEP,2014-04-25
AEP,2014-07-25
AEP,2014-10-23
AEP,2015-01-28
AEP,2015-04-23
AEP,2015-07-23
AEP,2015-10-22
AEP,2016-01-28
AEP,2016-04-28
AEP,2016-07-28
AEP,2016-11-01
AEP,2017-01-26
AEP,2017-04-27
AEP,2017-07-27
AEP,2017-10-26
AEP,2018-01-25
AEP,2018-04-26
AEP,2018-07-25
AEP,2018-10-25
AEP,2019-01-24
AEP,2019-04-25
AEP,2019-07-25
AEP,2019-10-24
AEP,2020-02-20
AEP,2020-05-06
AEP,2020-08-06
AEP,2020-10-22
AEP,2021-02-25
AEP,2021-04-22
AEP,2021-07-22
AEP,2021-10-28
AEP,2022-02-24
AEP,2022-04-28
AEP,2022-07-27
AEP,2022-10-27
AEP,2023-02-23
AEP,2023-05-04
AEP,2023-07-27
AEP,2023-11-02
AEP,2024-02-26
AEP,2024-04-30
AEP,2024-07-30
AEP,2024-11-06
AEP,2025-02-13
AEP,2025-05-06
AEP,2025-07-30
AEP,2025-10-29
AEP,2026-02-12
AEP,2026-05-05
AES,1996-04-16
AES,1996-07-16
AES,1996-10-17
AES,1997-01-30
AES,1997-04-15
AES,1997-07-15
AES,1997-10-21
AES,1998-01-29
AES,1998-04-21
AES,1998-07-21
AES,1998-10-22
AES,1999-02-04
AES,1999-04-20
AES,1999-07-22
AES,1999-10-21
AES,2000-02-03
AES,2000-04-27
AES,2000-07-27
AES,2000-10-26
AES,2001-01-29
AES,2001-04-26
AES,2001-07-26
AES,2001-10-25
AES,2002-02-04
AES,2002-04-25
AES,2002-07-25
AES,2002-10-24
AES,2003-02-13
AES,2003-05-01
AES,2003-07-30
AES,2003-10-30
AES,2004-02-05
AES,2004-04-28
